ชื่อเครื่องมือ,Serial No.,"
Old_Code
",User,Project/Location,Status,วันที่เครื่องมือถูกเบิก,วันครบกำหนดส่งคืน,จำนวนวันที่เบิกไปแล้ว,สถานะการใช้งาน,สถานะการตรวจสอบ/ซ่อม,สถานะ (พร้อมใช้งาน ≥30 วัน)
รอกโซ่ไฟฟ้า ขนาด 3 ตัน,E.MJ.CON.010.031.002.0003,A.53.01.002.0003,100051 ประยุทธ สมมุติ,คลังสินค้าและบริการ,ใช้งานอยู่,11/8/2025,28/8/2025,60,เกินกำหนด 43 วัน,,
รอกโซ่ไฟฟ้า ขนาด 3 ตัน,E.MJ.CON.010.031.002.0004,A.53.01.002.0004,100051 ประยุทธ สมมุติ,คลังสินค้าและบริการ,ใช้งานอยู่,11/8/2025,28/8/2025,60,เกินกำหนด 43 วัน,,
รอกโซ่แบบมือโยก ขนาด 1.6 ตัน,E.MJ.CON.010.031.003.0001,E.MJ.CON.010.031.003.0001,,คลังสินค้าและบริการ,พร้อมใช้งาน,11/8/2025,,,,,ไม่มีใครใช้
รอกโซ่แบบมือโยก ขนาด 1.6 ตัน,E.MJ.CON.010.031.003.0002,E.MJ.CON.010.031.003.0002,,คลังสินค้าและบริการ,พร้อมใช้งาน,15/8/2025,,,,,ไม่มีใครใช้
รอกโซ่แบบมือโยก ขนาด 1.6 ตัน,E.MJ.CON.010.031.003.0003,E.MJ.CON.010.031.003.0003,,คลังสินค้าและบริการ,พร้อมใช้งาน,15/8/2025,,,,,ไม่มีใครใช้
รอกโซ่แบบมือโยก ขนาด 1.6 ตัน,E.MJ.CON.010.031.003.0004,E.MJ.CON.010.031.003.0004,,คลังสินค้าและบริการ,พร้อมใช้งาน,6/9/2025,,,,,ไม่มีใครใช้
รอกโซ่แบบมือโยก ขนาด 1.6 ตัน,E.MJ.CON.010.031.003.0005,E.MJ.CON.010.031.003.0005,,คลังสินค้าและบริการ,พร้อมใช้งาน,10/9/2025,,,,,ไม่มีใครใช้
รอกโซ่แบบมือโยก ขนาด 1.6 ตัน,E.MJ.CON.010.031.003.0006,E.MJ.CON.010.031.003.0006,,คลังสินค้าและบริการ,พร้อมใช้งาน,14/9/2025,,,,,
รอกโซ่แบบมือโยก ขนาด 1.6 ตัน,E.MJ.CON.010.031.003.0008,E.MJ.CON.010.031.003.0008,,คลังสินค้าและบริการ,พร้อมใช้งาน,14/9/2025,,,,,
รอกโซ่แบบมือโยก ขนาด 1.6 ตัน,E.MJ.CON.010.031.003.0009,E.MJ.CON.010.031.003.0009,,คลังสินค้าและบริการ,พร้อมใช้งาน,14/9/2025,,,,,
รอกโซ่แบบมือโยก ขนาด 1.6 ตัน,E.MJ.CON.010.031.003.0010,E.MJ.CON.010.031.003.0010,,คลังสินค้าและบริการ,พร้อมใช้งาน,14/9/2025,,,,,
รอกโซ่แบบมือโยก ขนาด 1.6 ตัน,E.MJ.CON.010.031.003.0011,E.MJ.CON.010.031.003.0011,,คลังสินค้าและบริการ,พร้อมใช้งาน,14/9/2025,,,,,
รอกโซ่แบบมือโยก ขนาด 1.6 ตัน,E.MJ.CON.010.031.003.0012,E.MJ.CON.010.031.003.0012,,คลังสินค้าและบริการ,พร้อมใช้งาน,14/9/2025,,,,,
รอกโซ่แบบมือโยก ขนาด 1.6 ตัน,E.MJ.CON.010.031.003.0013,E.MJ.CON.010.031.003.0013,,คลังสินค้าและบริการ,พร้อมใช้งาน,14/9/2025,,,,,
รอกโซ่แบบมือโยก ขนาด 1.6 ตัน,E.MJ.CON.010.031.003.0014,E.MJ.CON.010.031.003.0014,,คลังสินค้าและบริการ,พร้อมใช้งาน,14/9/2025,,,,,
รอกโซ่แบบมือโยก ขนาด 1.6 ตัน,E.MJ.CON.010.031.003.0015,E.MJ.CON.010.031.003.0015,,คลังสินค้าและบริการ,พร้อมใช้งาน,14/9/2025,,,,,
รอกโซ่แบบมือโยก ขนาด 1.6 ตัน,E.MJ.CON.010.031.003.0016,E.MJ.CON.010.031.003.0016,,คลังสินค้าและบริการ,พร้อมใช้งาน,14/9/2025,,,,,
รอกโซ่แบบมือโยก ขนาด 1.6 ตัน,E.MJ.CON.010.031.003.0017,E.MJ.CON.010.031.003.0017,,คลังสินค้าและบริการ,พร้อมใช้งาน,15/9/2025,,,,,
รอกโซ่แบบมือโยก ขนาด 1.6 ตัน,E.MJ.CON.010.031.003.0018,E.MJ.CON.010.031.003.0018,,คลังสินค้าและบริการ,พร้อมใช้งาน,26/9/2025,,,,,
รอกโซ่แบบมือโยก ขนาด 1.6 ตัน,E.MJ.CON.010.031.003.0019,NO.19,,คลังสินค้าและบริการ,พร้อมใช้งาน,1/10/2025,,,,,
รอกโซ่แบบมือโยก ขนาด 1.6 ตัน,E.MJ.CON.010.031.003.0020,NO.20,,คลังสินค้าและบริการ,พร้อมใช้งาน,,,,,,ไม่มีใครใช้
รอกโซ่แบบมือสาว ขนาด 1.5 ตัน,E.MJ.CON.010.031.004.0002,A.53.02.001.0002,,คลังสินค้าและบริการ,พร้อมใช้งาน,,,,,,ไม่มีใครใช้
รอกโซ่แบบมือสาว ขนาด 1.5 ตัน,E.MJ.CON.010.031.004.0003,E.MJ.CON.010.031.004.0003,,คลังสินค้าและบริการ,พร้อมใช้งาน,,,,,,ไม่มีใครใช้
รอกสลิงไฟฟ้า ขนาด 800 Kg.,E.MJ.CON.010.031.005.0001,E.MJ.CON.010.031.005.0001,,คลังสินค้าและบริการ,พร้อมใช้งาน,,,,,,ไม่มีใครใช้
"รอกสลิงไฟฟ้า ขนาด 1,200 Kg.",E.MJ.CON.010.031.006.0001,E.MJ.CON.010.031.006.0001,,คลังสินค้าและบริการ,พร้อมใช้งาน,,,,,,ไม่มีใครใช้
รอกโซ่แบบมือสาว ขนาด 1 ตัน,E.MJ.CON.010.031.007.0001,E.MJ.CON.010.031.007.0001,,ไอคอนโด แอคทีฟ พัฒนาการ,พร้อมใช้งาน,,,,,,ไม่มีใครใช้
รอกโซ่แบบมือสาว ขนาด 2 ตัน,E.MJ.CON.010.031.008.0001,E.MJ.CON.010.031.008.0001,,JODD FAIRS,พร้อมใช้งาน,,,,,,ไม่มีใครใช้
รอกโซ่แบบมือสาว ขนาด 2 ตัน,E.MJ.CON.010.031.008.0002,E.MJ.CON.010.031.008.0002,,Sukhumvit 29 Hotel (HT-SKV29),พร้อมใช้งาน,,,,,,ไม่มีใครใช้
รอกโซ่แบบมือสาว ขนาด 2 ตัน,E.MJ.CON.010.031.008.0004,E.MJ.CON.010.031.008.0004,,คลังสินค้าและบริการ,กำลังตรวจสอบ / ซ่อม,,,,,,
รอกโซ่แบบมือสาว ขนาด 2 ตัน,E.MJ.CON.010.031.008.0005,E.MJ.CON.010.031.008.0005,,Bloom Mental Wellness Hospital (BMWH),พร้อมใช้งาน,,,,,,ไม่มีใครใช้
รอกโซ่แบบมือสาว ขนาด 2 ตัน,E.MJ.CON.010.031.008.0006,E.MJ.CON.010.031.008.0006,,Bloom Mental Wellness Hospital (BMWH),พร้อมใช้งาน,,,,,,ไม่มีใครใช้
รอกโซ่แบบมือสาว ขนาด 3 ตัน,E.MJ.CON.010.031.009.0001,E.MJ.CON.010.031.009.0001,,คลังสินค้าและบริการ,กำลังตรวจสอบ / ซ่อม,,,,,,
